222,11111,23,2.0,22.0,2.0,2
1,152388,5,65.0,2990.0,14950.0,Dos Pinos
2,152444,5,65.0,2990.0,14950.0,Dos Pinos
3,152445,5,65.0,2990.0,14950.0,Dos Pinos
6,156024,5,65.0,2990.0,14950.0,Dos Pinos
9,134665,5,65.0,2990.0,14950.0,Davalexcla
10,162343,5,65.0,2990.0,14950.0,Leo
12,160522,5,65.0,2990.0,14950.0,Leo
14,142746,5,65.0,2990.0,14950.0,Osvaldo
18,145985,5,65.0,2990.0,14950.0,Transilo
222,11111,23,2.0,22.0,2.0,2
7,159927,6,55.0,2530.0,15180.0,Dos Pinos
8,159582,6,55.0,2530.0,15180.0,Dos Pinos
4,156024,6,55.0,2530.0,15180.0,Dos Pinos
5,158154,6,55.0,2530.0,15180.0,Dos Pinos
17,133391,5,65.0,2530.0,16100.0,Transilo
15,137418,6,65.0,2990.0,17940.0,Osman
16,137443,6,65.0,2990.0,17940.0,Osman
11,154914,6,65.0,2990.0,17940.0,Leo
13,134388,6,65.0,2990.0,17940.0,Luis
222,33333,23,2.0,22.0,2.0,2
